46,2217,4,3.878206
62,8,3,3.137781
25,4268,3,2.710168
54,5770,4,3.766384
0,2947,4,2.713159
62,9301,4,3.531800
37,1379,2,2.720769
5,4435,5,4.559686
41,4886,2,3.584641
10,1917,2,3.066270
33,6659,4,3.502507
23,3337,4,3.908080
3,1857,4,4.233759
28,396,4,3.520342
19,733,5,3.133554
75,5883,4,2.773284
14,4038,1,2.272077
12,7132,3,1.934197
77,2326,5,3.975611
14,6131,1,2.133206
83,3675,4,4.491685
7,2367,3,4.563241
62,3423,2,4.276650
36,11218,1,2.782459
36,3606,4,1.390702
14,4349,2,1.343885
3,2371,2,2.627578
32,3683,3,3.881844
28,2370,2,1.890025
23,1574,5,3.654964
37,2565,3,2.689845
11,1094,3,2.979235
31,1198,3,2.892896
57,7256,3,3.362080
19,6129,2,2.926481
19,3524,3,4.302114
7,13462,4,3.867502
9,963,3,2.420915
74,974,5,4.228480
3,7666,2,3.328391
67,7139,3,3.954215
62,2302,3,3.702264
3,3587,3,3.292392
45,6544,4,3.837965
40,5918,4,3.012531
81,1890,2,1.683714
14,54,1,1.189419
14,8986,2,2.153406
4,8966,3,3.026757
19,8447,4,4.200995
21,6395,4,3.416459
3,8021,4,2.002860
13,809,4,3.974858
35,9180,3,3.314728
26,849,4,4.211502
69,5527,2,3.171211
81,1599,3,1.903319
15,2198,3,3.022232
33,1901,5,2.704299
13,7319,4,3.330771
22,2945,2,4.104791
68,4390,4,4.187753
25,5688,2,3.576760
3,2749,1,1.530354
81,7489,2,2.219872
4,1329,1,2.290631
66,6252,3,3.610908
16,8745,4,3.234705
39,1591,4,3.800944
4,1227,3,2.896966
40,2599,4,2.300945
75,5535,3,2.297256
57,4510,4,3.881042
16,3,5,3.711572
3,7001,2,1.810702
59,1094,4,4.173553
40,556,3,2.430881
87,1198,3,2.829853
57,2021,4,3.564522
82,8628,2,3.064387
40,3377,3,3.672777
36,6586,1,3.213567
34,559,3,3.544047
25,1824,4,4.277939
63,6,5,4.594491
7,12301,3,3.933001
0,3428,2,1.883596
48,10618,4,3.178940
19,10223,3,3.699906
65,910,4,3.366456
7,6198,4,4.008220
32,150,4,3.588405
7,3100,4,3.528403
39,3177,3,2.511962
40,2376,4,3.586897
55,9746,3,2.185355
87,1510,3,2.984064
33,8711,5,2.215315
14,2759,1,1.247002
81,290,4,3.726366
57,7577,4,3.559819
76,997,3,3.666050
11,7319,4,3.121809
77,174,3,3.169520
28,2628,1,3.057664
25,2592,3,2.224759
81,11014,4,3.952008
38,3561,2,3.094037
6,1049,5,3.541189
17,1909,4,2.894291
10,101,2,2.828164
28,124,3,2.694014
17,1187,4,2.957204
9,2820,3,2.071347
14,2279,4,2.213851
16,8350,1,2.764786
48,5548,4,3.761044
21,2526,3,3.318001
66,1745,3,3.542589
4,4575,3,2.828493
16,3244,4,3.476598
61,1173,3,3.676487
16,10351,4,3.914099
87,1856,4,3.586354
62,3421,4,4.501246
62,7295,3,3.176284
62,2414,4,3.711415
59,1508,4,3.825323
50,115,4,4.464101
82,7803,5,3.173376
76,2345,4,3.349998
40,1742,2,2.996419
57,5252,3,3.809772
19,905,2,3.794276
43,1008,4,3.726504
46,2833,3,2.952774
41,6208,4,3.991038
61,3556,3,2.095641
64,11272,2,2.384080
5,1509,5,4.917448
14,1705,2,1.599159
7,1890,3,2.897856
16,10506,3,4.060398
4,3130,2,2.575489
25,10047,5,4.096208
19,625,1,4.010973
82,6450,4,4.519621
33,3087,2,2.812603
77,1439,5,3.272779
57,4691,4,3.492609
70,11205,3,3.159022
17,2435,4,3.391957
4,3203,3,2.552330
6,262,3,3.751446
9,3052,1,2.769756
41,4807,2,2.708431
42,9557,3,2.379323
27,10285,4,3.003537
31,2325,2,3.118219
77,2526,5,4.025938
6,2490,4,3.546954
40,7479,4,3.155840
35,3039,2,2.629867
48,11785,4,4.146008
40,1163,4,4.404568
41,155,3,2.895345
7,8917,4,4.606290
42,4496,3,3.026289
2,1543,4,3.689560
48,11520,4,3.999844
81,6665,5,4.185902
41,2481,4,2.654186
47,10994,4,3.755921
43,8347,3,3.564259
10,5755,4,3.100740
67,4397,4,3.737806
79,8246,3,3.448869
7,7536,5,4.411379
30,1468,3,2.785319
14,6947,3,1.679623
25,1911,1,2.127388
36,2951,3,3.658144
12,4417,3,2.486252
